Age,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020
<1,6,72,162,628,1543,1385,671,725,1288,2403
1-9,25,312,785,3582,9142,8874,4430,5802,11182,20747
10-19,68,701,1746,8544,23496,22642,14549,15981,31333,53682
20-29,410,3043,4920,27221,51105,46679,25587,25064,47689,79527
30-39,451,3646,5610,21794,44990,40272,20402,21765,42155,72902
40-49,565,3564,5002,17641,40859,37539,18670,19988,38191,67348
50-59,494,3335,4475,13678,33638,31907,15613,18049,34734,59048
60-69,423,2280,2756,8155,21325,20427,10200,12797,24666,41091
70-79,201,1043,1471,3711,10536,10584,5306,7328,13019,21680
80+,103,780,1236,2507,6153,6942,3558,4612,7063,12122
