County,Confirmed Cases,Fatalities
Anderson,1674,41
Andrews,1178,6
Angelina,2456,69
Aransas,1947,29
Archer,1005,6
Armstrong,161,2
Atascosa,5223,24
Austin,2245,26
Bailey,217,8
Bandera,1114,15
Bastrop,7799,55
Baylor,161,9
Bee,1916,18
Bell,26734,179
Bexar,269907,1040
Blanco,842,7
Borden,41,0
Bosque,1113,16
Bowie,4610,96
Brazoria,39864,147
Brazos,27657,71
Brewster,310,8
Briscoe,212,1
Brooks,435,6
Brown,2714,52
Burleson,1569,7
Burnet,3826,42
Caldwell,6792,27
Calhoun,1595,14
Callahan,656,15
Cameron,36402,253
Camp,611,8
Carson,316,9
Cass,2328,38
Castro,866,5
Chambers,3774,12
Cherokee,1622,28
Childress,816,10
Clay,603,16
Cochran,235,4
Coke,140,2
Coleman,442,16
Collin,84587,355
Collingsworth,165,3
Colorado,1173,12
Comal,12069,92
Comanche,793,12
Concho,137,3
Cooke,2108,28
Coryell,5353,56
Cottle,93,0
Crane,166,5
Crockett,56,3
Crosby,336,4
Culberson,130,1
Dallam,336,10
Dallas,205034,1223
Dawson,293,17
Deaf Smith,1381,18
Delta,313,5
Denton,66694,319
DeWitt,1759,22
Dickens,66,1
Dimmit,1810,4
Donley,139,7
Duval,1413,11
Eastland,633,27
Ector,7640,144
Edwards,112,2
El Paso,86369,627
Ellis,14880,111
Erath,2066,17
Falls,1068,16
Fannin,1235,39
Fayette,1089,21
Fisher,167,7
Floyd,517,9
Foard,44,1
Fort Bend,103806,213
Franklin,538,9
Freestone,595,11
Frio,1862,16
Gaines,312,13
Galveston,43486,158
Garza,223,5
Gillespie,1132,33
Glasscock,33,0
Goliad,546,6
Gonzales,752,16
Gray,811,32
Grayson,8996,131
Gregg,4385,132
Grimes,2997,14
Guadalupe,11153,74
Hale,2291,39
Hall,335,8
Hamilton,444,7
Hansford,194,3
Hardeman,136,7
Hardin,2545,36
Harris,448183,1648
Harrison,1975,43
Hartley,166,0
Haskell,156,3
Hays,31154,102
Hemphill,362,5
Henderson,7168,83
Hidalgo,81389,439
Hill,1891,25
Hockley,2993,25
Hood,3162,71
Hopkins,1767,36
Houston,689,26
Howard,802,38
Hudspeth,256,4
Hunt,4808,54
Hutchinson,1631,30
Irion,210,1
Jack,517,9
Jackson,598,9
Jasper,2171,33
Jeff Davis,51,4
Jefferson,24474,132
Jim Hogg,176,2
Jim Wells,3657,41
Johnson,13838,165
Jones,683,17
Karnes,1627,17
Kaufman,11980,97
Kendall,2406,28
Kenedy,21,0
Kent,17,1
Kerr,1270,58
Kimble,179,4
King,10,0
Kinney,185,3
Kleberg,2533,20
Knox,99,3
La Salle,537,9
Lamar,1702,52
Lamb,851,27
Lampasas,1849,22
Lavaca,558,23
Lee,775,9
Leon,815,20
Liberty,5679,48
Limestone,1279,23
Lipscomb,133,4
Live Oak,402,4
Llano,1150,15
Loving,86,1
Lubbock,27286,263
Lynn,554,12
Madison,714,13
Marion,282,6
Martin,356,2
Mason,79,4
Matagorda,2766,21
Maverick,10040,58
McCulloch,261,10
McLennan,21228,174
McMullen,46,1
Medina,3111,38
Menard,92,0
Midland,9024,88
Milam,1265,16
Mills,313,9
Mitchell,424,7
Montague,1570,31
Montgomery,51899,206
Moore,919,19
Morris,567,17
Motley,45,4
Nacogdoches,3520,31
Navarro,1641,37
Newton,546,9
Nolan,753,19
Nueces,31194,197
Ochiltree,623,10
Oldham,76,0
Orange,2766,67
Palo Pinto,2462,26
Panola,1041,22
Parker,10815,119
Parmer,322,10
Pecos,1075,14
Polk,2410,42
Potter,6089,113
Presidio,216,9
Rains,445,11
Randall,4351,89
Reagan,74,5
Real,219,4
Red River,343,13
Reeves,1210,12
Refugio,407,8
Roberts,47,1
Robertson,1247,11
Rockwall,6788,46
Runnels,223,14
Rusk,1750,49
Sabine,310,13
San Augustine,211,8
San Jacinto,2235,25
San Patricio,5102,56
San Saba,210,10
Schleicher,115,0
Scurry,2183,13
Shackelford,45,3
Shelby,1144,21
Sherman,51,0
Smith,11839,160
Somervell,441,11
Starr,6718,45
Stephens,254,12
Sterling,28,4
Stonewall,9,1
Sutton,112,3
Swisher,251,7
Tarrant,195246,966
Taylor,4905,132
Terrell,26,0
Terry,235,12
Throckmorton,35,3
Titus,1734,28
Tom Green,4207,83
Travis,118787,318
Trinity,725,13
Tyler,939,16
Upshur,854,33
Upton,57,3
Uvalde,4119,28
Val Verde,5203,49
Van Zandt,2442,58
Victoria,6308,64
Walker,7033,26
Waller,3553,22
Ward,949,11
Washington,3394,20
Webb,42132,139
Wharton,2190,33
Wheeler,206,10
Wichita,18467,168
Wilbarger,934,14
Willacy,2228,23
Williamson,61920,175
Wilson,2652,23
Winkler,477,3
Wise,5797,63
Wood,1902,59
Yoakum,384,6
Young,1013,24
Zapata,682,10
Zavala,1318,14
Incomplete Address,72232,16
Total,2647031,15209
