"COVID-19 Total Cases by County, 01/01/2023 to 05/10/2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCLAIMER: All data are provisional and are subject to change.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,01/01/2023,01/02/2023,01/03/2023,01/04/2023,01/05/2023,01/06/2023,01/07/2023,01/08/2023,01/09/2023,01/10/2023,01/11/2023,01/12/2023,01/13/2023,01/14/2023,01/15/2023,01/16/2023,01/17/2023,01/18/2023,01/19/2023,01/20/2023,01/21/2023,01/22/2023,01/23/2023,01/24/2023,01/25/2023,2023-01-26 00:00:00,2023-01-27 00:00:00,2023-01-28 00:00:00,2023-01-29 00:00:00,2023-01-30 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00,2023-02-03 00:00:00,2023-02-04 00:00:00,2023-02-05 00:00:00,2023-02-06 00:00:00,2023-02-07 00:00:00,2023-02-08 00:00:00,2023-02-09 00:00:00,2023-02-10 00:00:00,2023-02-11 00:00:00,2023-02-12 00:00:00,2023-02-13 00:00:00,2023-02-14 00:00:00,2023-02-15 00:00:00,2023-02-16 00:00:00,2023-02-17 00:00:00,2023-02-18 00:00:00,2023-02-19 00:00:00,2023-02-20 00:00:00,2023-02-21 00:00:00,2023-02-22 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-02-25 00:00:00,2023-02-26 00:00:00,2023-02-27 00:00:00,2023-02-28 00:00:00,2023-03-01 00:00:00,2023-03-02 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,03/09/2023,03/10/2023,03/11/2023,03/12/2023,03/13/2023,03/14/2023,03/15/2023,03/16/2023,03/17/2023,03/18/2023,03/19/2023,03/20/2023,03/21/2023,03/22/2023,03/23/2023,03/24/2023,03/25/2023,03/26/2023,03/27/2023,03/28/2023,03/29/2023,03/30/2023,03/31/2023,04/01/2023,04/02/2023,04/03/2023,04/04/2023,04/05/2023,04/06/2023,04/07/2023,04/08/2023,04/09/2023,04/10/2023,04/11/2023,04/12/2023,04/13/2023,04/14/2023,04/15/2023,04/16/2023,04/17/2023,04/18/2023,04/19/2023,04/20/2023,04/21/2023,04/22/2023,04/23/2023,04/24/2023,04/25/2023,04/26/2023,04/27/2023,04/28/2023,04/29/2023,04/30/2023,05/01/2023,05/02/2023,05/03/2023,05/04/2023,05/05/2023,05/06/2023,05/07/2023,05/08/2023,05/09/2023,05/10/2023
Anderson,9001,9002,9002,9002,9002,9002,9004,9006,9007,9007,9007,9009,9010,9010,9010,9011,9011,9012,9014,9014,9015,9016,9016,9016,9016,9017,9018,9019,9019,9019,9019,9019,9019,9019,9019,9019,9019,9019,9020,9022,9023,9023,9024,9024,9024,9024,9024,9024,9027,9027,9029,9029,9030,9030,9030,9032,9033,9035,9042,9043,9043,9044,9044,9044,9044,9044,9046,9046,9046,9046,9046,9046,9047,9048,9048,9050,9052,9052,9052,9053,9059,9060,9060,9060,9060,9060,9060,9060,9061,9061,9061,9061,9062,9064,9064,9064,9065,9065,9065,9066,9066,9066,9066,9066,9074,9077,9077,9082,9082,9082,9082,9082,9082,9082,9082,9083,9084,9085,9085,9085,9086,9086,9086,9087,9089,9089,9089,9090,9090,9090
Andrews,2643,2643,2643,2643,2643,2651,2651,2651,2651,2651,2651,2651,2653,2659,2660,2660,2660,2660,2660,2663,2665,2665,2665,2665,2666,2666,2667,2669,2669,2669,2669,2669,2670,2676,2677,2677,2677,2677,2677,2678,2682,2682,2682,2682,2682,2682,2682,2682,2683,2683,2683,2683,2683,2683,2684,2684,2684,2685,2685,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2688,2696,2696,2696,2696,2696,2696,2697,2697,2697,2697,2697,2697,2697,2697,2697,2698,2698,2699,2699,2700,2700,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701
Angelina,10379,10380,10382,10384,10388,10390,10394,10397,10402,10404,10407,10407,10410,10413,10414,10415,10415,10417,10421,10423,10424,10424,10424,10424,10424,10425,10426,10428,10428,10429,10430,10430,10430,10434,10436,10436,10438,10438,10440,10444,10445,10446,10446,10447,10447,10449,10450,10451,10453,10453,10454,10454,10457,10492,10493,10493,10494,10494,10495,10498,10500,10500,10501,10501,10502,10504,10504,10505,10506,10506,10506,10506,10507,10507,10507,10508,10508,10508,10508,10508,10508,10508,10509,10509,10509,10509,10510,10510,10510,10511,10511,10511,10511,10518,10518,10518,10518,10518,10518,10520,10521,10521,10521,10521,10521,10521,10521,10521,10522,10522,10522,10522,10522,10522,10522,10522,10522,10522,10522,10522,10522,10522,10522,10522,10523,10523,10523,10524,10524,10525
Aransas,4122,4124,4125,4127,4132,4134,4140,4144,4146,4147,4148,4149,4153,4155,4155,4156,4157,4161,4162,4162,4162,4163,4163,4163,4163,4163,4164,4167,4167,4170,4172,4173,4174,4174,4177,4178,4178,4180,4182,4186,4190,4190,4190,4192,4196,4196,4199,4199,4199,4199,4200,4200,4202,4203,4204,4204,4206,4206,4206,4206,4206,4206,4206,4206,4208,4208,4208,4208,4209,4210,4211,4211,4212,4212,4213,4213,4213,4213,4213,4213,4213,4214,4215,4215,4215,4215,4215,4215,4215,4215,4215,4215,4215,4224,4224,4224,4225,4225,4225,4225,4226,4227,4227,4228,4228,4229,4229,4229,4229,4229,4229,4230,4230,4230,4230,4231,4231,4231,4231,4232,4232,4232,4234,4234,4234,4234,4234,4234,4234,4234
Archer,2218,2220,2220,2225,2227,2230,2230,2231,2231,2231,2237,2238,2239,2241,2243,2243,2244,2251,2251,2251,2251,2252,2252,2254,2257,2259,2262,2262,2262,2265,2265,2265,2267,2267,2267,2268,2268,2269,2270,2270,2270,2271,2272,2272,2272,2274,2274,2274,2274,2275,2277,2277,2279,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2288,2289,2289,2289,2290,2292,2292,2292,2292,2293,2294,2294,2294,2294,2294,2295,2295,2295,2295,2295,2295,2295,2295,2295,2297,2297,2297,2297,2297,2297,2302,2302,2302,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2304,2305,2305,2305,2305,2305,2305,2305,2305,2306,2306,2307,2308,2308,2309,2309,2309,2309,2309,2309
Armstrong,391,391,391,391,391,391,391,391,391,392,392,392,392,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
Atascosa,12004,12009,12010,12013,12018,12020,12031,12033,12036,12038,12041,12046,12050,12057,12059,12062,12066,12068,12070,12073,12077,12078,12081,12083,12083,12088,12093,12094,12095,12096,12096,12096,12103,12103,12104,12107,12109,12110,12111,12111,12113,12119,12123,12123,12125,12127,12131,12132,12135,12135,12136,12136,12138,12144,12146,12149,12150,12151,12154,12155,12156,12160,12162,12162,12166,12169,12172,12172,12173,12175,12178,12178,12180,12181,12182,12183,12183,12184,12185,12185,12185,12187,12187,12187,12187,12192,12196,12196,12196,12198,12199,12201,12203,12209,12212,12213,12215,12218,12218,12221,12222,12224,12226,12228,12230,12233,12233,12233,12236,12238,12242,12245,12247,12247,12258,12258,12258,12259,12259,12259,12260,12260,12261,12261,12263,12264,12264,12264,12266,12266
Austin,5418,5420,5423,5424,5430,5435,5439,5443,5448,5452,5457,5458,5459,5461,5463,5464,5464,5465,5466,5468,5470,5472,5472,5474,5476,5480,5480,5481,5481,5483,5486,5486,5486,5486,5490,5491,5491,5492,5493,5495,5498,5500,5500,5504,5505,5505,5508,5511,5516,5517,5519,5520,5520,5524,5524,5526,5526,5527,5528,5529,5533,5534,5538,5538,5541,5541,5541,5542,5542,5542,5543,5543,5544,5544,5544,5545,5546,5547,5548,5549,5550,5550,5550,5551,5551,5551,5551,5551,5553,5555,5555,5555,5557,5560,5560,5562,5562,5562,5562,5563,5563,5564,5566,5566,5567,5567,5567,5569,5570,5571,5572,5572,5572,5572,5572,5572,5573,5575,5575,5575,5576,5576,5577,5577,5577,5577,5577,5577,5577,5577
Bailey,1019,1019,1019,1019,1020,1020,1021,1021,1021,1022,1024,1026,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1029,1029,1030,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1033,1033,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1035,1036,1036,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037
Bandera,2899,2899,2899,2899,2901,2902,2902,2902,2903,2904,2904,2905,2907,2909,2909,2910,2910,2912,2913,2913,2915,2917,2918,2918,2920,2920,2920,2920,2920,2920,2920,2921,2922,2923,2923,2924,2924,2925,2925,2927,2928,2929,2929,2929,2929,2931,2931,2931,2931,2932,2934,2934,2936,2939,2940,2942,2942,2944,2948,2948,2948,2948,2952,2952,2957,2957,2958,2960,2961,2961,2961,2961,2962,2962,2962,2962,2962,2963,2963,2963,2963,2963,2963,2963,2963,2963,2963,2963,2963,2963,2963,2964,2965,2965,2965,2966,2966,2967,2967,2967,2967,2968,2970,2970,2970,2970,2970,2970,2970,2970,2970,2971,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972
