Age,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021
<1,2,0,0,1,0,0,1,4,4,1,0,1
1-9,2,1,0,1,2,0,0,2,3,3,0,3
10-19,3,3,2,0,1,0,2,16,18,10,3,5
20-29,38,25,9,14,14,11,23,130,153,82,27,33
30-39,139,97,55,40,47,21,60,409,508,235,75,73
40-49,377,242,169,110,104,73,141,850,1044,436,170,187
50-59,951,631,313,229,171,119,187,1302,1542,756,317,306
60-69,2054,1241,613,328,237,163,275,1494,2015,1097,412,451
70-79,2806,1489,603,268,252,123,257,1422,1669,854,359,453
80+,3578,1515,574,257,184,109,233,1276,1375,640,324,471
