Month Year,<1,44935,45218,20-29,30-39,40-49,50-59,60-69,70-79,80+,Unknown,Total
January2022,14539,118074,187715,234884,223197,187551,147861,97521,47567,21102,672,1280683
February2022,3157,25462,33008,36478,39526,33589,28443,22769,13531,7281,50,243294
March2022,722,6013,9875,12082,12984,10804,8699,6460,3643,2056,16,73354
April2022,457,2651,4121,6803,7272,5873,4970,4045,2567,1251,24,40034
May2022,924,5362,8824,15908,16785,13986,12065,9159,4887,2150,14,90064
June2022,2973,10900,14890,34301,34828,29243,25968,19570,11412,5429,28,189542
July2022,6324,19587,20860,47275,46259,38950,35328,27808,16639,8547,31,267608
August2022,5003,20897,23834,31536,32324,27433,24571,19282,12203,6379,28,203490
September2022,2197,7096,13253,13739,14127,12311,11581,9853,6779,3896,16,94848
October2022,774,2316,2755,4661,5128,4540,4695,4514,3327,2047,74,34831
November2022,1143,2501,3427,6581,6881,6046,5998,5514,4267,2886,5,45249
December2022,2636,4412,5881,11767,12506,11693,12024,11332,8917,5979,11,87158
Unknown Date 2022,95,643,1041,1379,1375,1137,888,657,349,220,2,7786
Total 2022,40944,225914,329484,457394,453192,383156,323091,238484,136088,69223,971,2657941
