Month Year,Asian,Black,Hispanic,Other,White,Unknown,Total
January 2022,120,646,1839,48,3001,3,5657
February 2022,74,359,1332,26,2269,4,4064
March 2022,25,99,292,7,530,1,954
April 2022,5,22,82,0,150,0,259
May 2022,3,21,36,0,120,0,180
June 2022,10,39,99,3,201,0,352
July 2022,27,87,205,6,474,2,801
August 2022,21,68,222,5,492,0,808
September 2022,19,40,125,5,308,0,497
October 2022,12,25,65,5,182,0,289
November 2022,6,19,65,2,161,0,253
December 2022,20,50,143,3,387,1,604
Total 2022,342,1475,4505,110,8275,11,14718
