,,,,,,
,County,Population,People vaccinated with at least one doce,% of people vaccinated with at least one doce,People fully vaccinated,% of people fully vaccinated
,Anderson,"57,863","27,870",48.17%,"24,776",42.82%
,Andrews,"17,818","9,415",52.84%,"8,366",46.95%
,Angelina,"87,607","45,432",51.86%,"40,498",46.23%
,Aransas,"24,763","16,367",66.09%,"14,327",57.86%
,Archer,"8,789","4,584",52.16%,"4,235",48.19%
,Armstrong,"1,916",825,43.06%,727,37.94%
,Atascosa,"48,828","30,030",61.50%,"26,017",53.28%
,Austin,"29,565","17,161",58.04%,"15,048",50.90%
,Bailey,"7,092","3,272",46.14%,"2,723",38.40%
,Bandera,"21,763","11,861",54.50%,"10,399",47.78%
,Bastrop,"82,577","62,753",75.99%,"52,553",63.64%
,Baylor,"3,591","1,627",45.31%,"1,476",41.10%
,Bee,"32,691","19,856",60.74%,"16,815",51.44%
,Bell,"342,236","192,423",56.23%,"163,770",47.85%
,Bexar,"1,925,865","1,582,733",82.18%,"1,332,284",69.18%
,Blanco,"11,279","7,057",62.57%,"6,296",55.82%
,Borden,665,226,33.98%,201,30.23%
,Bosque,"18,122","9,647",53.23%,"8,636",47.65%
,Bowie,"93,858","40,065",42.69%,"34,101",36.33%
,Brazoria,"353,999","252,823",71.42%,"225,677",63.75%
,Brazos,"219,193","139,009",63.42%,"120,850",55.13%
,Brewster,"9,216","6,058",65.73%,"5,160",55.99%
,Briscoe,"1,546",713,46.12%,641,41.46%
,Brooks,"7,180","33,427",465.56%,"7,326",102.03%
,Brown,"37,834","18,022",47.63%,"16,131",42.64%
,Burleson,"17,863","9,969",55.81%,"9,030",50.55%
,Burnet,"45,750","29,397",64.26%,"26,188",57.24%
,Caldwell,"41,401","29,238",70.62%,"24,898",60.14%
,Calhoun,"21,807","13,185",60.46%,"11,533",52.89%
,Callahan,"13,770","5,956",43.25%,"5,347",38.83%
,Cameron,"421,750","455,515",108.01%,"353,438",83.80%
,Camp,"12,813","6,607",51.56%,"5,698",44.47%
,Carson,"6,032","2,390",39.62%,"2,102",34.85%
,Cass,"30,087","12,163",40.43%,"10,607",35.25%
,Castro,"7,787","3,904",50.13%,"3,277",42.08%
,Chambers,"40,292","24,984",62.01%,"22,126",54.91%
,Cherokee,"51,903","24,552",47.30%,"21,783",41.97%
,Childress,"7,226","4,025",55.70%,"3,710",51.34%
,Clay,"10,387","4,905",47.22%,"4,495",43.28%
,Cochran,"2,904","1,284",44.21%,"1,115",38.40%
,Coke,"3,275","1,463",44.67%,"1,305",39.85%
,Coleman,"8,391","3,519",41.94%,"3,133",37.34%
,Collin,"944,350","815,429",86.35%,"717,594",75.99%
,Collingsworth,"2,996","1,133",37.82%,975,32.54%
,Colorado,"21,022","12,875",61.25%,"11,460",54.51%
,Comal,"135,097","111,799",82.75%,"98,076",72.60%
,Comanche,"13,495","6,929",51.34%,"6,263",46.41%
,Concho,"4,233","1,647",38.91%,"1,396",32.98%
,Cooke,"39,571","19,049",48.14%,"16,022",40.49%
,Coryell,"75,389","38,107",50.55%,"33,076",43.87%
,Cottle,"1,623",588,36.23%,518,31.92%
,Crane,"4,839","2,279",47.10%,"1,765",36.47%
,Crockett,"3,633","1,913",52.66%,"1,637",45.06%
,Crosby,"5,861","2,899",49.46%,"2,590",44.19%
,Culberson,"2,241","1,350",60.24%,"1,164",51.94%
,Dallam,"7,243","4,263",58.86%,"3,125",43.15%
,Dallas,"2,586,552","1,874,875",72.49%,"1,608,328",62.18%
,Dawson,"12,964","5,139",39.64%,"4,482",34.57%
,Deaf Smith,"18,899","9,248",48.93%,"8,044",42.56%
,Delta,"5,215","2,052",39.35%,"1,825",35.00%
,Denton,"807,047","631,742",78.28%,"561,167",69.53%
,DeWitt,"20,435","10,378",50.79%,"9,380",45.90%
,Dickens,"2,216",804,36.28%,724,32.67%
,Dimmit,"10,663","12,110",113.57%,"7,551",70.81%
,Donley,"3,387","1,391",41.07%,"1,215",35.87%
,Duval,"11,355","8,727",76.86%,"7,387",65.06%
,Eastland,"18,270","7,748",42.41%,"6,716",36.76%
,Ector,"158,342","84,461",53.34%,"71,818",45.36%
,Edwards,"2,055",914,44.48%,789,38.39%
,Ellis,"168,838","114,363",67.74%,"101,497",60.12%
,El Paso,"837,654","880,315",105.09%,"663,923",79.26%
,Erath,"41,482","18,280",44.07%,"16,221",39.10%
,Falls,"17,299","9,498",54.90%,"8,199",47.40%
,Fannin,"34,175","17,004",49.76%,"15,038",44.00%
,Fayette,"25,066","15,214",60.70%,"13,341",53.22%
,Fisher,"3,883","1,613",41.54%,"1,411",36.34%
,Floyd,"5,872","2,838",48.33%,"2,544",43.32%
,Foard,"1,408",610,43.32%,519,36.86%
,Fort Bend,"739,342","680,384",92.03%,"602,229",81.45%
,Franklin,"10,679","4,651",43.55%,"4,067",38.08%
,Freestone,"19,709","9,016",45.75%,"8,091",41.05%
,Frio,"19,394","17,784",91.70%,"14,437",74.44%
,Gaines,"20,321","5,479",26.96%,"4,723",23.24%
,Galveston,"327,089","234,480",71.69%,"211,456",64.65%
,Garza,"6,288","3,451",54.88%,"3,239",51.51%
,Gillespie,"26,208","16,804",64.12%,"15,004",57.25%
,Glasscock,"1,430",715,50.00%,618,43.22%
,Goliad,"7,531","3,736",49.61%,"3,354",44.54%
,Gonzales,"20,667","12,226",59.16%,"10,912",52.80%
,Gray,"22,685","9,989",44.03%,"8,867",39.09%
,Grayson,"128,560","70,252",54.65%,"60,937",47.40%
,Gregg,"123,494","67,509",54.67%,"59,374",48.08%
,Grimes,"27,630","18,409",66.63%,"16,391",59.32%
,Guadalupe,"155,137","108,019",69.63%,"94,142",60.68%
,Hale,"34,113","16,364",47.97%,"14,479",42.44%
,Hall,"3,074","1,424",46.32%,"1,260",40.99%
,Hamilton,"8,269","4,666",56.43%,"4,286",51.83%
